Mouse ID,Drug Regimen,Sex,Age_months,Weight (g),Timepoint,Tumor Volume (mm3),Metastatic Sites,Tumor Volume (mm3) Change,Initial Tumor Volume (mm3),Tumor Volume % Reduction
k403,Ramicane,Male,21,16,0,45.0,0,0.0,45.0,0.0
k403,Ramicane,Male,21,16,5,38.82589807,0,-6.174101929999999,45.0,-13.720226511111107
k403,Ramicane,Male,21,16,10,35.01427146,1,-9.985728539999997,45.0,-22.19050786666666
k403,Ramicane,Male,21,16,15,34.22399174,1,-10.776008259999998,45.0,-23.946685022222216
k403,Ramicane,Male,21,16,20,32.99772858,1,-12.00227142,45.0,-26.67171426666667
k403,Ramicane,Male,21,16,25,33.46457735,1,-11.535422650000001,45.0,-25.634272555555558
k403,Ramicane,Male,21,16,30,31.09949753,1,-13.90050247,45.0,-30.89000548888889
k403,Ramicane,Male,21,16,35,26.54699343,1,-18.45300657,45.0,-41.00668126666667
k403,Ramicane,Male,21,16,40,24.36550471,1,-20.63449529,45.0,-45.85443397777778
k403,Ramicane,Male,21,16,45,22.05012627,1,-22.94987373,45.0,-50.9997194
s185,Capomulin,Female,3,17,0,45.0,0,0.0,45.0,0.0
s185,Capomulin,Female,3,17,5,43.87849569,0,-1.1215043099999988,45.0,-2.4922317999999977
s185,Capomulin,Female,3,17,10,37.61494768,0,-7.38505232,45.0,-16.411227377777777
s185,Capomulin,Female,3,17,15,38.17723195,0,-6.8227680500000005,45.0,-15.161706777777779
s185,Capomulin,Female,3,17,20,36.86687576,0,-8.13312424,45.0,-18.073609422222223
s185,Capomulin,Female,3,17,25,33.94994037,0,-11.05005963,45.0,-24.55568806666667
s185,Capomulin,Female,3,17,30,32.95967078,1,-12.040329219999997,45.0,-26.756287155555547
s185,Capomulin,Female,3,17,35,28.32853059,1,-16.67146941,45.0,-37.0477098
s185,Capomulin,Female,3,17,40,25.47214326,1,-19.52785674,45.0,-43.395237200000004
s185,Capomulin,Female,3,17,45,23.34359787,1,-21.65640213,45.0,-48.125338066666664
x401,Capomulin,Female,16,15,0,45.0,0,0.0,45.0,0.0
x401,Capomulin,Female,16,15,5,45.47375302,0,0.47375301999999664,45.0,1.0527844888888815
x401,Capomulin,Female,16,15,10,39.11389068,0,-5.886109320000003,45.0,-13.080242933333338
x401,Capomulin,Female,16,15,15,39.77625003,0,-5.22374997,45.0,-11.608333266666666
x401,Capomulin,Female,16,15,20,36.06583471,0,-8.934165290000003,45.0,-19.85370064444445
x401,Capomulin,Female,16,15,25,36.61712031,0,-8.382879690000003,45.0,-18.62862153333334
x401,Capomulin,Female,16,15,30,32.91529186,0,-12.084708139999996,45.0,-26.85490697777777
x401,Capomulin,Female,16,15,35,30.20682488,0,-14.79317512,45.0,-32.87372248888889
x401,Capomulin,Female,16,15,40,28.16739732,0,-16.83260268,45.0,-37.40578373333334
x401,Capomulin,Female,16,15,45,28.48403281,0,-16.51596719,45.0,-36.702149311111114
m601,Capomulin,Male,22,17,0,45.0,0,0.0,45.0,0.0
m601,Capomulin,Male,22,17,5,41.40859145,1,-3.591408549999997,45.0,-7.980907888888883
m601,Capomulin,Male,22,17,10,36.82536664,1,-8.174633360000001,45.0,-18.165851911111115
m601,Capomulin,Male,22,17,15,35.46461175,1,-9.535388249999997,45.0,-21.18975166666666
m601,Capomulin,Male,22,17,20,34.2557317,1,-10.744268300000002,45.0,-23.876151777777782
m601,Capomulin,Male,22,17,25,33.11875607,1,-11.881243929999997,45.0,-26.402764288888882
m601,Capomulin,Male,22,17,30,31.75827491,1,-13.24172509,45.0,-29.426055755555552
m601,Capomulin,Male,22,17,35,30.83435704,1,-14.16564296,45.0,-31.479206577777774
m601,Capomulin,Male,22,17,40,31.3780453,1,-13.6219547,45.0,-30.271010444444446
m601,Capomulin,Male,22,17,45,28.43096411,1,-16.56903589,45.0,-36.820079755555554
g791,Ramicane,Male,11,16,0,45.0,0,0.0,45.0,0.0
g791,Ramicane,Male,11,16,5,45.85153062,0,0.8515306199999984,45.0,1.892290266666663
g791,Ramicane,Male,11,16,10,40.17055848,0,-4.829441520000003,45.0,-10.732092266666674
g791,Ramicane,Male,11,16,15,40.67812852,0,-4.321871479999999,45.0,-9.604158844444441
g791,Ramicane,Male,11,16,20,41.211897,0,-3.7881029999999996,45.0,-8.418006666666665
g791,Ramicane,Male,11,16,25,35.56939935,1,-9.430600650000002,45.0,-20.956890333333337
g791,Ramicane,Male,11,16,30,34.95258284,1,-10.047417160000002,45.0,-22.327593688888893
g791,Ramicane,Male,11,16,35,30.96039194,1,-14.039608059999999,45.0,-31.199129022222223
g791,Ramicane,Male,11,16,40,31.36940573,1,-13.63059427,45.0,-30.290209488888888
g791,Ramicane,Male,11,16,45,29.12847181,1,-15.87152819,45.0,-35.270062644444444
s508,Ramicane,Male,1,17,0,45.0,0,0.0,45.0,0.0
s508,Ramicane,Male,1,17,5,38.71187185,0,-6.288128149999999,45.0,-13.973618111111108
s508,Ramicane,Male,1,17,10,34.8509979,0,-10.149002099999997,45.0,-22.553337999999993
s508,Ramicane,Male,1,17,15,35.27690634,0,-9.723093660000004,45.0,-21.606874800000007
s508,Ramicane,Male,1,17,20,35.92865083,0,-9.071349169999998,45.0,-20.158553711111107
s508,Ramicane,Male,1,17,25,36.33856894,0,-8.661431059999998,45.0,-19.247624577777774
s508,Ramicane,Male,1,17,30,35.47402235,0,-9.525977650000002,45.0,-21.168839222222225
s508,Ramicane,Male,1,17,35,35.8461407,0,-9.1538593,45.0,-20.341909555555556
s508,Ramicane,Male,1,17,40,32.79817119,0,-12.201828810000002,45.0,-27.115175133333334
s508,Ramicane,Male,1,17,45,30.27623175,0,-14.72376825,45.0,-32.719485
f966,Capomulin,Male,16,17,0,45.0,0,0.0,45.0,0.0
f966,Capomulin,Male,16,17,5,38.79647373,0,-6.203526269999998,45.0,-13.785613933333327
f966,Capomulin,Male,16,17,10,35.6244027,0,-9.375597300000003,45.0,-20.83466066666667
f966,Capomulin,Male,16,17,15,32.62300253,0,-12.37699747,45.0,-27.50443882222222
f966,Capomulin,Male,16,17,20,30.48598484,0,-14.51401516,45.0,-32.25336702222222
m546,Ramicane,Male,18,16,0,45.0,0,0.0,45.0,0.0
m546,Ramicane,Male,18,16,5,42.99887638,0,-2.0011236200000013,45.0,-4.44694137777778
m546,Ramicane,Male,18,16,10,43.74822357,0,-1.2517764299999996,45.0,-2.781725399999999
m546,Ramicane,Male,18,16,15,39.89743533,0,-5.10256467,45.0,-11.3390326
m546,Ramicane,Male,18,16,20,36.71229535,0,-8.287704650000002,45.0,-18.417121444444447
m546,Ramicane,Male,18,16,25,37.44444543,0,-7.555554569999998,45.0,-16.790121266666663
m546,Ramicane,Male,18,16,30,37.96993365,0,-7.0300663499999985,45.0,-15.622369666666664
m546,Ramicane,Male,18,16,35,38.62753581,1,-6.372464190000002,45.0,-14.161031533333338
m546,Ramicane,Male,18,16,40,35.1145752,1,-9.885424800000003,45.0,-21.967610666666673
m546,Ramicane,Male,18,16,45,30.56462509,1,-14.43537491,45.0,-32.07861091111111
z578,Ramicane,Male,11,16,0,45.0,0,0.0,45.0,0.0
z578,Ramicane,Male,11,16,5,42.18878662,0,-2.811213379999998,45.0,-6.2471408444444405
z578,Ramicane,Male,11,16,10,42.95211843,0,-2.0478815700000013,45.0,-4.550847933333336
z578,Ramicane,Male,11,16,15,38.68851607,0,-6.311483930000001,45.0,-14.025519844444448
z578,Ramicane,Male,11,16,20,36.89001635,0,-8.109983649999997,45.0,-18.02218588888888
z578,Ramicane,Male,11,16,25,37.41411419,0,-7.585885810000001,45.0,-16.857524022222222
z578,Ramicane,Male,11,16,30,37.81593487,0,-7.1840651300000005,45.0,-15.96458917777778
z578,Ramicane,Male,11,16,35,38.50482444,0,-6.49517556,45.0,-14.433723466666667
z578,Ramicane,Male,11,16,40,34.02209336,0,-10.97790664,45.0,-24.39534808888889
z578,Ramicane,Male,11,16,45,30.63869575,0,-14.36130425,45.0,-31.914009444444446
j913,Ramicane,Female,4,17,0,45.0,0,0.0,45.0,0.0
j913,Ramicane,Female,4,17,5,44.01490022,0,-0.9850997799999988,45.0,-2.1891106222222194
j913,Ramicane,Female,4,17,10,44.49716216,0,-0.502837839999998,45.0,-1.1174174222222177
j913,Ramicane,Female,4,17,15,45.25253427,0,0.2525342699999982,45.0,0.5611872666666626
j913,Ramicane,Female,4,17,20,42.16834132,0,-2.8316586799999968,45.0,-6.292574844444437
j913,Ramicane,Female,4,17,25,37.86066936,0,-7.139330639999997,45.0,-15.865179199999993
j913,Ramicane,Female,4,17,30,34.75724046,0,-10.242759540000002,45.0,-22.76168786666667
j913,Ramicane,Female,4,17,35,35.17014843,0,-9.829851570000002,45.0,-21.844114600000005
j913,Ramicane,Female,4,17,40,31.00186078,1,-13.998139219999999,45.0,-31.10697604444444
